type_name,type_code,scenario,result,xml,adtg,roundtrip_xml,error_number,error_description
"TinyInt","16","boundaries","ok","corpus/exhaustive/flat_TinyInt_boundaries.xml","corpus/exhaustive/flat_TinyInt_boundaries.adtg","corpus/exhaustive/flat_TinyInt_boundaries.roundtrip.xml","",""
"TinyInt","16","states","ok","corpus/exhaustive/flat_TinyInt_states.xml","corpus/exhaustive/flat_TinyInt_states.adtg","corpus/exhaustive/flat_TinyInt_states.roundtrip.xml","",""
"TinyInt","16","null_states","ok","corpus/exhaustive/flat_TinyInt_null_states.xml","corpus/exhaustive/flat_TinyInt_null_states.adtg","corpus/exhaustive/flat_TinyInt_null_states.roundtrip.xml","",""
"UnsignedTinyInt","17","boundaries","ok","corpus/exhaustive/flat_UnsignedTinyInt_boundaries.xml","corpus/exhaustive/flat_UnsignedTinyInt_boundaries.adtg","corpus/exhaustive/flat_UnsignedTinyInt_boundaries.roundtrip.xml","",""
"UnsignedTinyInt","17","states","ok","corpus/exhaustive/flat_UnsignedTinyInt_states.xml","corpus/exhaustive/flat_UnsignedTinyInt_states.adtg","corpus/exhaustive/flat_UnsignedTinyInt_states.roundtrip.xml","",""
"UnsignedTinyInt","17","null_states","ok","corpus/exhaustive/flat_UnsignedTinyInt_null_states.xml","corpus/exhaustive/flat_UnsignedTinyInt_null_states.adtg","corpus/exhaustive/flat_UnsignedTinyInt_null_states.roundtrip.xml","",""
"SmallInt","2","boundaries","ok","corpus/exhaustive/flat_SmallInt_boundaries.xml","corpus/exhaustive/flat_SmallInt_boundaries.adtg","corpus/exhaustive/flat_SmallInt_boundaries.roundtrip.xml","",""
"SmallInt","2","states","ok","corpus/exhaustive/flat_SmallInt_states.xml","corpus/exhaustive/flat_SmallInt_states.adtg","corpus/exhaustive/flat_SmallInt_states.roundtrip.xml","",""
"SmallInt","2","null_states","ok","corpus/exhaustive/flat_SmallInt_null_states.xml","corpus/exhaustive/flat_SmallInt_null_states.adtg","corpus/exhaustive/flat_SmallInt_null_states.roundtrip.xml","",""
"UnsignedSmallInt","18","boundaries","ok","corpus/exhaustive/flat_UnsignedSmallInt_boundaries.xml","corpus/exhaustive/flat_UnsignedSmallInt_boundaries.adtg","corpus/exhaustive/flat_UnsignedSmallInt_boundaries.roundtrip.xml","",""
"UnsignedSmallInt","18","states","ok","corpus/exhaustive/flat_UnsignedSmallInt_states.xml","corpus/exhaustive/flat_UnsignedSmallInt_states.adtg","corpus/exhaustive/flat_UnsignedSmallInt_states.roundtrip.xml","",""
