case,stage,result,error_number,error_description
"missing_required_current","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"invalid_int_value","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"invalid_boolean_value","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"invalid_bin_hex_value","default_view","ok","",""
"empty_type","default_view","ok","",""
"error_type","default_view","ok","",""
"variant_type","default_view","ok","",""
"number_without_dbtype","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"number_len1_without_dbtype","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"number_len2_without_dbtype","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"number_len4_overflow_without_dbtype","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"unbraced_uuid_value","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
"invalid_uuid_value","default_view","fail","-2147467259","Data provider or other service returned an E_FAIL status."
